game_id,round_order,round_name,region,slot_label,source_top_type,source_top_id,source_bottom_type,source_bottom_id,team_a_slug,team_a_name,seed_a,team_b_slug,team_b_name,seed_b,win_prob_a,win_prob_b,picked_winner_slug,picked_winner_name,picked_seed,picked_winner_prob,picked_loser_slug,picked_loser_name,picked_loser_seed
midwest_ff_1,0,First Four,MIDWEST,16-seed play-in,team,howard,team,maryland-baltimore-county,howard,Howard,16,maryland-baltimore-county,Maryland-Baltimore County,16,0.5463568568229675,0.45364314317703247,howard,Howard,16,0.5463568568229675,maryland-baltimore-county,Maryland-Baltimore County,16
midwest_ff_2,0,First Four,MIDWEST,11-seed play-in,team,southern-methodist,team,miami-oh,southern-methodist,Southern Methodist,11,miami-oh,Miami (OH),11,0.7379499971866608,0.26205000281333923,southern-methodist,Southern Methodist,11,0.7379499971866608,miami-oh,Miami (OH),11
south_ff_1,0,First Four,SOUTH,16-seed play-in,team,lehigh,team,prairie-view,lehigh,Lehigh,16,prairie-view,Prairie View,16,0.5348878055810928,0.46511219441890717,lehigh,Lehigh,16,0.5348878055810928,prairie-view,Prairie View,16
west_ff_1,0,First Four,WEST,11-seed play-in,team,north-carolina-state,team,texas,north-carolina-state,NC State,11,texas,Texas,11,0.4662271738052368,0.5337728261947632,texas,Texas,11,0.5337728261947632,north-carolina-state,NC State,11
east_r64_1,1,Round of 64,EAST,Round of 64 1,team,duke,team,siena,duke,Duke,1,siena,Siena,16,0.9779712436720728,0.022028756327927224,duke,Duke,1,0.9779712436720728,siena,Siena,16
east_r64_2,1,Round of 64,EAST,Round of 64 2,team,ohio-state,team,texas-christian,ohio-state,Ohio State,8,texas-christian,TCU,9,0.4995627850294113,0.5004372149705887,texas-christian,TCU,9,0.5004372149705887,ohio-state,Ohio State,8
east_r64_3,1,Round of 64,EAST,Round of 64 3,team,st-johns-ny,team,northern-iowa,st-johns-ny,St. John's (NY),5,northern-iowa,Northern Iowa,12,0.7778873145580292,0.22211268544197083,st-johns-ny,St. John's (NY),5,0.7778873145580292,northern-iowa,Northern Iowa,12
east_r64_4,1,Round of 64,EAST,Round of 64 4,team,kansas,team,california-baptist,kansas,Kansas,4,california-baptist,California Baptist,13,0.9527968000620604,0.047203199937939644,kansas,Kansas,4,0.9527968000620604,california-baptist,California Baptist,13
east_r64_5,1,Round of 64,EAST,Round of 64 5,team,louisville,team,south-florida,louisville,Louisville,6,south-florida,South Florida,11,0.791940413415432,0.20805958658456802,louisville,Louisville,6,0.791940413415432,south-florida,South Florida,11
east_r64_6,1,Round of 64,EAST,Round of 64 6,team,michigan-state,team,north-dakota-state,michigan-state,Michigan State,3,north-dakota-state,North Dakota State,14,0.9324815198779106,0.06751848012208939,michigan-state,Michigan State,3,0.9324815198779106,north-dakota-state,North Dakota State,14
east_r64_7,1,Round of 64,EAST,Round of 64 7,team,ucla,team,central-florida,ucla,UCLA,7,central-florida,UCF,10,0.6756731420755386,0.32432685792446136,ucla,UCLA,7,0.6756731420755386,central-florida,UCF,10
east_r64_8,1,Round of 64,EAST,Round of 64 8,team,connecticut,team,furman,connecticut,Connecticut,2,furman,Furman,15,0.9601115956902504,0.0398884043097496,connecticut,Connecticut,2,0.9601115956902504,furman,Furman,15
midwest_r64_1,1,Round of 64,MIDWEST,Round of 64 1,team,michigan,game,midwest_ff_1,michigan,Michigan,1,howard,Howard,16,0.9714837102219462,0.02851628977805376,michigan,Michigan,1,0.9714837102219462,howard,Howard,16
midwest_r64_2,1,Round of 64,MIDWEST,Round of 64 2,team,georgia,team,saint-louis,georgia,Georgia,8,saint-louis,Saint Louis,9,0.7056281715631485,0.2943718284368515,georgia,Georgia,8,0.7056281715631485,saint-louis,Saint Louis,9
midwest_r64_3,1,Round of 64,MIDWEST,Round of 64 3,team,texas-tech,team,akron,texas-tech,Texas Tech,5,akron,Akron,12,0.8725741803646088,0.12742581963539124,texas-tech,Texas Tech,5,0.8725741803646088,akron,Akron,12
midwest_r64_4,1,Round of 64,MIDWEST,Round of 64 4,team,alabama,team,hofstra,alabama,Alabama,4,hofstra,Hofstra,13,0.9051130078732968,0.09488699212670315,alabama,Alabama,4,0.9051130078732968,hofstra,Hofstra,13
midwest_r64_5,1,Round of 64,MIDWEST,Round of 64 5,team,tennessee,game,midwest_ff_2,tennessee,Tennessee,6,southern-methodist,Southern Methodist,11,0.7517750859260559,0.2482249140739441,tennessee,Tennessee,6,0.7517750859260559,southern-methodist,Southern Methodist,11
midwest_r64_6,1,Round of 64,MIDWEST,Round of 64 6,team,virginia,team,wright-state,virginia,Virginia,3,wright-state,Wright State,14,0.9021455571055412,0.09785444289445877,virginia,Virginia,3,0.9021455571055412,wright-state,Wright State,14
midwest_r64_7,1,Round of 64,MIDWEST,Round of 64 7,team,kentucky,team,santa-clara,kentucky,Kentucky,7,santa-clara,Santa Clara,10,0.6178423464298248,0.38215765357017517,kentucky,Kentucky,7,0.6178423464298248,santa-clara,Santa Clara,10
midwest_r64_8,1,Round of 64,MIDWEST,Round of 64 8,team,iowa-state,team,tennessee-state,iowa-state,Iowa State,2,tennessee-state,Tennessee State,15,0.9748702654615043,0.02512973453849565,iowa-state,Iowa State,2,0.9748702654615043,tennessee-state,Tennessee State,15
south_r64_1,1,Round of 64,SOUTH,Round of 64 1,team,florida,game,south_ff_1,florida,Florida,1,lehigh,Lehigh,16,0.9867224101908504,0.013277589809149615,florida,Florida,1,0.9867224101908504,lehigh,Lehigh,16
south_r64_2,1,Round of 64,SOUTH,Round of 64 2,team,clemson,team,iowa,clemson,Clemson,8,iowa,Iowa,9,0.4546687602996826,0.5453312397003174,iowa,Iowa,9,0.5453312397003174,clemson,Clemson,8
south_r64_3,1,Round of 64,SOUTH,Round of 64 3,team,vanderbilt,team,mcneese-state,vanderbilt,Vanderbilt,5,mcneese-state,McNeese State,12,0.7198304086923599,0.2801695913076401,vanderbilt,Vanderbilt,5,0.7198304086923599,mcneese-state,McNeese State,12
south_r64_4,1,Round of 64,SOUTH,Round of 64 4,team,nebraska,team,troy,nebraska,Nebraska,4,troy,Troy,13,0.8727327659726143,0.1272672340273857,nebraska,Nebraska,4,0.8727327659726143,troy,Troy,13
south_r64_5,1,Round of 64,SOUTH,Round of 64 5,team,north-carolina,team,virginia-commonwealth,north-carolina,North Carolina,6,virginia-commonwealth,Virginia Commonwealth,11,0.6228964179754257,0.3771035820245743,north-carolina,North Carolina,6,0.6228964179754257,virginia-commonwealth,Virginia Commonwealth,11
south_r64_6,1,Round of 64,SOUTH,Round of 64 6,team,illinois,team,pennsylvania,illinois,Illinois,3,pennsylvania,Pennsylvania,14,0.9747425420209764,0.025257457979023568,illinois,Illinois,3,0.9747425420209764,pennsylvania,Pennsylvania,14
south_r64_7,1,Round of 64,SOUTH,Round of 64 7,team,saint-marys-ca,team,texas-am,saint-marys-ca,Saint Mary's (CA),7,texas-am,Texas A&M,10,0.5196079611778259,0.4803920388221741,saint-marys-ca,Saint Mary's (CA),7,0.5196079611778259,texas-am,Texas A&M,10
south_r64_8,1,Round of 64,SOUTH,Round of 64 8,team,houston,team,idaho,houston,Houston,2,idaho,Idaho,15,0.9826289266347884,0.017371073365211598,houston,Houston,2,0.9826289266347884,idaho,Idaho,15
west_r64_1,1,Round of 64,WEST,Round of 64 1,team,arizona,team,long-island-university,arizona,Arizona,1,long-island-university,Long Island University,16,0.9606669042259456,0.039333095774054416,arizona,Arizona,1,0.9606669042259456,long-island-university,Long Island University,16
west_r64_2,1,Round of 64,WEST,Round of 64 2,team,villanova,team,utah-state,villanova,Villanova,8,utah-state,Utah State,9,0.4187436103820801,0.5812563896179199,utah-state,Utah State,9,0.5812563896179199,villanova,Villanova,8
west_r64_3,1,Round of 64,WEST,Round of 64 3,team,wisconsin,team,high-point,wisconsin,Wisconsin,5,high-point,High Point,12,0.8364188075065613,0.16358119249343872,wisconsin,Wisconsin,5,0.8364188075065613,high-point,High Point,12
west_r64_4,1,Round of 64,WEST,Round of 64 4,team,arkansas,team,hawaii,arkansas,Arkansas,4,hawaii,Hawaii,13,0.9161418750882148,0.08385812491178524,arkansas,Arkansas,4,0.9161418750882148,hawaii,Hawaii,13
west_r64_5,1,Round of 64,WEST,Round of 64 5,team,brigham-young,game,west_ff_1,brigham-young,Brigham Young,6,texas,Texas,11,0.6064720153808594,0.3935279846191406,brigham-young,Brigham Young,6,0.6064720153808594,texas,Texas,11
west_r64_6,1,Round of 64,WEST,Round of 64 6,team,gonzaga,team,kennesaw-state,gonzaga,Gonzaga,3,kennesaw-state,Kennesaw State,14,0.9612352345138788,0.03876476548612118,gonzaga,Gonzaga,3,0.9612352345138788,kennesaw-state,Kennesaw State,14
west_r64_7,1,Round of 64,WEST,Round of 64 7,team,miami-fl,team,missouri,miami-fl,Miami (FL),7,missouri,Missouri,10,0.7050155997276306,0.2949844002723694,miami-fl,Miami (FL),7,0.7050155997276306,missouri,Missouri,10
west_r64_8,1,Round of 64,WEST,Round of 64 8,team,purdue,team,queens-nc,purdue,Purdue,2,queens-nc,Queens (NC),15,0.9760991325601936,0.02390086743980635,purdue,Purdue,2,0.9760991325601936,queens-nc,Queens (NC),15
east_r32_1,2,Round of 32,EAST,Round of 32 1,game,east_r64_1,game,east_r64_2,duke,Duke,1,texas-christian,TCU,9,0.9291617907583714,0.07083820924162865,duke,Duke,1,0.9291617907583714,texas-christian,TCU,9
east_r32_2,2,Round of 32,EAST,Round of 32 2,game,east_r64_3,game,east_r64_4,st-johns-ny,St. John's (NY),5,kansas,Kansas,4,0.5544242113828659,0.4455757886171341,st-johns-ny,St. John's (NY),5,0.5544242113828659,kansas,Kansas,4
east_r32_3,2,Round of 32,EAST,Round of 32 3,game,east_r64_5,game,east_r64_6,louisville,Louisville,6,michigan-state,Michigan State,3,0.453770101070404,0.546229898929596,michigan-state,Michigan State,3,0.546229898929596,louisville,Louisville,6
east_r32_4,2,Round of 32,EAST,Round of 32 4,game,east_r64_7,game,east_r64_8,ucla,UCLA,7,connecticut,Connecticut,2,0.3445597887039184,0.6554402112960815,connecticut,Connecticut,2,0.6554402112960815,ucla,UCLA,7
midwest_r32_1,2,Round of 32,MIDWEST,Round of 32 1,game,midwest_r64_1,game,midwest_r64_2,michigan,Michigan,1,georgia,Georgia,8,0.8292661160230637,0.17073388397693634,michigan,Michigan,1,0.8292661160230637,georgia,Georgia,8
midwest_r32_2,2,Round of 32,MIDWEST,Round of 32 2,game,midwest_r64_3,game,midwest_r64_4,texas-tech,Texas Tech,5,alabama,Alabama,4,0.5066971480846405,0.4933028519153595,texas-tech,Texas Tech,5,0.5066971480846405,alabama,Alabama,4
midwest_r32_3,2,Round of 32,MIDWEST,Round of 32 3,game,midwest_r64_5,game,midwest_r64_6,tennessee,Tennessee,6,virginia,Virginia,3,0.6525028347969055,0.3474971652030945,tennessee,Tennessee,6,0.6525028347969055,virginia,Virginia,3
midwest_r32_4,2,Round of 32,MIDWEST,Round of 32 4,game,midwest_r64_7,game,midwest_r64_8,kentucky,Kentucky,7,iowa-state,Iowa State,2,0.3039021790027618,0.6960978209972382,iowa-state,Iowa State,2,0.6960978209972382,kentucky,Kentucky,7
south_r32_1,2,Round of 32,SOUTH,Round of 32 1,game,south_r64_1,game,south_r64_2,florida,Florida,1,iowa,Iowa,9,0.7785741984844208,0.22142580151557922,florida,Florida,1,0.7785741984844208,iowa,Iowa,9
south_r32_2,2,Round of 32,SOUTH,Round of 32 2,game,south_r64_3,game,south_r64_4,vanderbilt,Vanderbilt,5,nebraska,Nebraska,4,0.5364120006561279,0.46358799934387207,vanderbilt,Vanderbilt,5,0.5364120006561279,nebraska,Nebraska,4
south_r32_3,2,Round of 32,SOUTH,Round of 32 3,game,south_r64_5,game,south_r64_6,north-carolina,North Carolina,6,illinois,Illinois,3,0.2393550500273704,0.7606449499726295,illinois,Illinois,3,0.7606449499726295,north-carolina,North Carolina,6
south_r32_4,2,Round of 32,SOUTH,Round of 32 4,game,south_r64_7,game,south_r64_8,saint-marys-ca,Saint Mary's (CA),7,houston,Houston,2,0.3467040657997131,0.6532959342002869,houston,Houston,2,0.6532959342002869,saint-marys-ca,Saint Mary's (CA),7
west_r32_1,2,Round of 32,WEST,Round of 32 1,game,west_r64_1,game,west_r64_2,arizona,Arizona,1,utah-state,Utah State,9,0.7768254652619362,0.2231745347380638,arizona,Arizona,1,0.7768254652619362,utah-state,Utah State,9
west_r32_2,2,Round of 32,WEST,Round of 32 2,game,west_r64_3,game,west_r64_4,wisconsin,Wisconsin,5,arkansas,Arkansas,4,0.5290813744068146,0.4709186255931854,wisconsin,Wisconsin,5,0.5290813744068146,arkansas,Arkansas,4
west_r32_3,2,Round of 32,WEST,Round of 32 3,game,west_r64_5,game,west_r64_6,brigham-young,Brigham Young,6,gonzaga,Gonzaga,3,0.3127692341804504,0.6872307658195496,gonzaga,Gonzaga,3,0.6872307658195496,brigham-young,Brigham Young,6
west_r32_4,2,Round of 32,WEST,Round of 32 4,game,west_r64_7,game,west_r64_8,miami-fl,Miami (FL),7,purdue,Purdue,2,0.2343069463968277,0.7656930536031723,purdue,Purdue,2,0.7656930536031723,miami-fl,Miami (FL),7
east_s16_1,3,Sweet 16,EAST,Sweet 16 1,game,east_r32_1,game,east_r32_2,duke,Duke,1,st-johns-ny,St. John's (NY),5,0.8091078326106071,0.19089216738939285,duke,Duke,1,0.8091078326106071,st-johns-ny,St. John's (NY),5
east_s16_2,3,Sweet 16,EAST,Sweet 16 2,game,east_r32_3,game,east_r32_4,michigan-state,Michigan State,3,connecticut,Connecticut,2,0.560259997844696,0.43974000215530396,michigan-state,Michigan State,3,0.560259997844696,connecticut,Connecticut,2
midwest_s16_1,3,Sweet 16,MIDWEST,Sweet 16 1,game,midwest_r32_1,game,midwest_r32_2,michigan,Michigan,1,texas-tech,Texas Tech,5,0.7090444713830948,0.2909555286169052,michigan,Michigan,1,0.7090444713830948,texas-tech,Texas Tech,5
midwest_s16_2,3,Sweet 16,MIDWEST,Sweet 16 2,game,midwest_r32_3,game,midwest_r32_4,tennessee,Tennessee,6,iowa-state,Iowa State,2,0.4399239718914032,0.5600760281085968,iowa-state,Iowa State,2,0.5600760281085968,tennessee,Tennessee,6
south_s16_1,3,Sweet 16,SOUTH,Sweet 16 1,game,south_r32_1,game,south_r32_2,florida,Florida,1,vanderbilt,Vanderbilt,5,0.7292978689074516,0.27070213109254837,florida,Florida,1,0.7292978689074516,vanderbilt,Vanderbilt,5
south_s16_2,3,Sweet 16,SOUTH,Sweet 16 2,game,south_r32_3,game,south_r32_4,illinois,Illinois,3,houston,Houston,2,0.5448858290910721,0.4551141709089279,illinois,Illinois,3,0.5448858290910721,houston,Houston,2
west_s16_1,3,Sweet 16,WEST,Sweet 16 1,game,west_r32_1,game,west_r32_2,arizona,Arizona,1,wisconsin,Wisconsin,5,0.7476933002471924,0.2523066997528076,arizona,Arizona,1,0.7476933002471924,wisconsin,Wisconsin,5
west_s16_2,3,Sweet 16,WEST,Sweet 16 2,game,west_r32_3,game,west_r32_4,gonzaga,Gonzaga,3,purdue,Purdue,2,0.456571415066719,0.543428584933281,purdue,Purdue,2,0.543428584933281,gonzaga,Gonzaga,3
