game_id,round_order,round_name,region,slot_label,source_top_type,source_top_id,source_bottom_type,source_bottom_id,team_a_slug,team_a_name,seed_a,team_b_slug,team_b_name,seed_b,win_prob_a,win_prob_b,picked_winner_slug,picked_winner_name,picked_seed,picked_winner_prob,picked_loser_slug,picked_loser_name,picked_loser_seed,round_points,picked_team_game_win_prob,expected_points
midwest_ff_1,0,First Four,MIDWEST,16-seed play-in,team,howard,team,maryland-baltimore-county,howard,Howard,16,maryland-baltimore-county,Maryland-Baltimore County,16,0.5463568568229675,0.45364314317703247,howard,Howard,16,0.5463568568229675,maryland-baltimore-county,Maryland-Baltimore County,16,1,0.5463568568229675,0.5463568568229675
midwest_ff_2,0,First Four,MIDWEST,11-seed play-in,team,southern-methodist,team,miami-oh,southern-methodist,Southern Methodist,11,miami-oh,Miami (OH),11,0.7379499971866608,0.26205000281333923,southern-methodist,Southern Methodist,11,0.7379499971866608,miami-oh,Miami (OH),11,1,0.7379499971866608,0.7379499971866608
south_ff_1,0,First Four,SOUTH,16-seed play-in,team,lehigh,team,prairie-view,lehigh,Lehigh,16,prairie-view,Prairie View,16,0.5348878055810928,0.46511219441890717,lehigh,Lehigh,16,0.5348878055810928,prairie-view,Prairie View,16,1,0.5348878055810928,0.5348878055810928
west_ff_1,0,First Four,WEST,11-seed play-in,team,north-carolina-state,team,texas,north-carolina-state,NC State,11,texas,Texas,11,0.4662271738052368,0.5337728261947632,texas,Texas,11,0.5337728261947632,north-carolina-state,NC State,11,1,0.5337728261947632,0.5337728261947632
east_r64_1,1,Round of 64,EAST,Round of 64 1,team,duke,team,siena,duke,Duke,1,siena,Siena,16,0.9779712436720728,0.022028756327927224,duke,Duke,1,0.9779712436720728,siena,Siena,16,1,0.9779712436720728,0.9779712436720728
east_r64_2,1,Round of 64,EAST,Round of 64 2,team,ohio-state,team,texas-christian,ohio-state,Ohio State,8,texas-christian,TCU,9,0.4995627850294113,0.5004372149705887,texas-christian,TCU,9,0.5004372149705887,ohio-state,Ohio State,8,1,0.5004372149705887,0.5004372149705887
east_r64_3,1,Round of 64,EAST,Round of 64 3,team,st-johns-ny,team,northern-iowa,st-johns-ny,St. John's (NY),5,northern-iowa,Northern Iowa,12,0.7778873145580292,0.22211268544197083,st-johns-ny,St. John's (NY),5,0.7778873145580292,northern-iowa,Northern Iowa,12,1,0.7778873145580292,0.7778873145580292
east_r64_4,1,Round of 64,EAST,Round of 64 4,team,kansas,team,california-baptist,kansas,Kansas,4,california-baptist,California Baptist,13,0.9527968000620604,0.047203199937939644,kansas,Kansas,4,0.9527968000620604,california-baptist,California Baptist,13,1,0.9527968000620604,0.9527968000620604
east_r64_5,1,Round of 64,EAST,Round of 64 5,team,louisville,team,south-florida,louisville,Louisville,6,south-florida,South Florida,11,0.791940413415432,0.20805958658456802,louisville,Louisville,6,0.791940413415432,south-florida,South Florida,11,1,0.791940413415432,0.791940413415432
east_r64_6,1,Round of 64,EAST,Round of 64 6,team,michigan-state,team,north-dakota-state,michigan-state,Michigan State,3,north-dakota-state,North Dakota State,14,0.9324815198779106,0.06751848012208939,michigan-state,Michigan State,3,0.9324815198779106,north-dakota-state,North Dakota State,14,1,0.9324815198779106,0.9324815198779106
east_r64_7,1,Round of 64,EAST,Round of 64 7,team,ucla,team,central-florida,ucla,UCLA,7,central-florida,UCF,10,0.6756731420755386,0.32432685792446136,ucla,UCLA,7,0.6756731420755386,central-florida,UCF,10,1,0.6756731420755386,0.6756731420755386
east_r64_8,1,Round of 64,EAST,Round of 64 8,team,connecticut,team,furman,connecticut,Connecticut,2,furman,Furman,15,0.9601115956902504,0.0398884043097496,connecticut,Connecticut,2,0.9601115956902504,furman,Furman,15,1,0.9601115956902504,0.9601115956902504
midwest_r64_1,1,Round of 64,MIDWEST,Round of 64 1,team,michigan,game,midwest_ff_1,michigan,Michigan,1,howard,Howard,16,0.9714837102219462,0.02851628977805376,michigan,Michigan,1,0.9714837102219462,howard,Howard,16,1,0.9747112873604398,0.9747112873604398
midwest_r64_2,1,Round of 64,MIDWEST,Round of 64 2,team,georgia,team,saint-louis,georgia,Georgia,8,saint-louis,Saint Louis,9,0.7056281715631485,0.2943718284368515,georgia,Georgia,8,0.7056281715631485,saint-louis,Saint Louis,9,1,0.7056281715631485,0.7056281715631485
