max_depth,learning_rate,bucket,games,log_loss,accuracy
2,0.01,1-5,1374,0.4424073480085926,0.7707423580786026
2,0.01,11-20,3047,0.5263150540433074,0.7292418772563177
2,0.01,21+,4139,0.5631833348388027,0.7006523314810341
2,0.01,6-10,1487,0.5357678571976225,0.7101546738399462
2,0.015,1-5,1374,0.4418520188967382,0.7700145560407569
2,0.015,11-20,3047,0.5262786403170185,0.728913685592386
2,0.015,21+,4139,0.5628882769460798,0.6994443102198599
2,0.015,6-10,1487,0.5358165727394032,0.7081371889710827
2,0.02,1-5,1374,0.4406282821264231,0.7736535662299855
2,0.02,11-20,3047,0.5262297871341279,0.7295700689202494
2,0.02,21+,4139,0.5631003453288349,0.7008939357332689
2,0.02,6-10,1487,0.5359675176498303,0.7088096839273705
2,0.025,1-5,1374,0.44047709088201087,0.7751091703056768
2,0.025,11-20,3047,0.5261935208371182,0.728913685592386
2,0.025,21+,4139,0.5631020454976646,0.7006523314810341
2,0.025,6-10,1487,0.5359959173523782,0.7101546738399462
2,0.03,1-5,1374,0.44085452094538913,0.772197962154294
2,0.03,11-20,3047,0.5262066591410238,0.7282573022645225
2,0.03,21+,4139,0.5631711191152619,0.7011355399855037
2,0.03,6-10,1487,0.5359780512831138,0.7094821788836584
2,0.035,1-5,1374,0.44034829958104554,0.7714701601164483
2,0.035,11-20,3047,0.5261303975962165,0.7269445356087956
2,0.035,21+,4139,0.5633983361103833,0.7013771442377386
2,0.035,6-10,1487,0.5355888630050816,0.7081371889710827
2,0.04,1-5,1374,0.439831206547708,0.7736535662299855
2,0.04,11-20,3047,0.5261054795200726,0.7279291106005907
2,0.04,21+,4139,0.5631771517211253,0.7025851654989128
2,0.04,6-10,1487,0.5360098676136056,0.7114996637525218
2,0.05,1-5,1374,0.440485607796733,0.7729257641921398
2,0.05,11-20,3047,0.525958518501478,0.7295700689202494
2,0.05,21+,4139,0.5632333147983811,0.702343561246678
2,0.05,6-10,1487,0.5360583288194475,0.7074646940147948
3,0.01,1-5,1374,0.4410277226196756,0.7809315866084425
3,0.01,11-20,3047,0.5263150014385376,0.7305546439120446
3,0.01,21+,4139,0.5632528987238269,0.6970282676975115
3,0.01,6-10,1487,0.5340272336184309,0.7074646940147948
3,0.015,1-5,1374,0.4396026113485083,0.7780203784570596
3,0.015,11-20,3047,0.5260817847949057,0.732523793895635
3,0.015,21+,4139,0.5632806102434591,0.6982362889586857
3,0.015,6-10,1487,0.5348039487630464,0.7074646940147948
3,0.02,1-5,1374,0.44063071140206866,0.7802037845705968
3,0.02,11-20,3047,0.5257889534305231,0.7308828355759763
3,0.02,21+,4139,0.5630414441871021,0.6970282676975115
3,0.02,6-10,1487,0.534672659870255,0.7074646940147948
3,0.025,1-5,1374,0.44013043660307594,0.7809315866084425
3,0.025,11-20,3047,0.525947213886686,0.732523793895635
3,0.025,21+,4139,0.5630572048090512,0.6999275187243296
3,0.025,6-10,1487,0.5343698437999133,0.7088096839273705
3,0.03,1-5,1374,0.4393377382241357,0.7794759825327511
3,0.03,11-20,3047,0.5259246235476953,0.7302264522481129
3,0.03,21+,4139,0.563142208163988,0.697753080454216
3,0.03,6-10,1487,0.5351780187870284,0.7081371889710827
3,0.035,1-5,1374,0.4394040290963036,0.7787481804949054
3,0.035,11-20,3047,0.5259832939440462,0.7308828355759763
3,0.035,21+,4139,0.5629484012659981,0.6987194974631553
3,0.035,6-10,1487,0.5346992450680262,0.7101546738399462
3,0.04,1-5,1374,0.4407583812285067,0.7787481804949054
3,0.04,11-20,3047,0.5260425353588682,0.7321956022317033
3,0.04,21+,4139,0.5629879999274068,0.7008939357332689
3,0.04,6-10,1487,0.5336509897156212,0.7175521183591123
3,0.05,1-5,1374,0.43997723494891006,0.7758369723435226
3,0.05,11-20,3047,0.5255527561250765,0.7308828355759763
3,0.05,21+,4139,0.5628687263295683,0.7001691229765644
3,0.05,6-10,1487,0.5348216420203195,0.7121721587088097
4,0.01,1-5,1374,0.43644377542466106,0.7802037845705968
4,0.01,11-20,3047,0.5264202970786485,0.7302264522481129
4,0.01,21+,4139,0.5629159618690528,0.6975114762019812
4,0.01,6-10,1487,0.5339939049066436,0.7155346334902488
4,0.015,1-5,1374,0.4366924547951173,0.7743813682678311
4,0.015,11-20,3047,0.526378328537131,0.7298982605841812
4,0.015,21+,4139,0.5627978841473663,0.699202705967625
4,0.015,6-10,1487,0.5334295538397673,0.7128446536650975
4,0.02,1-5,1374,0.4362258027837115,0.7758369723435226
4,0.02,11-20,3047,0.5264516922358123,0.7302264522481129
4,0.02,21+,4139,0.5629139153827231,0.7008939357332689
4,0.02,6-10,1487,0.5337306780164053,0.7168796234028245
4,0.025,1-5,1374,0.4360994787009836,0.777292576419214
4,0.025,11-20,3047,0.5257955711388089,0.731211027239908
4,0.025,21+,4139,0.5626479026957473,0.699202705967625
4,0.025,6-10,1487,0.5336607260700493,0.7162071284465367
4,0.03,1-5,1374,0.43735191652966243,0.7787481804949054
4,0.03,11-20,3047,0.5254036924887131,0.7318674105677716
4,0.03,21+,4139,0.5628624219498131,0.7016187484899734
4,0.03,6-10,1487,0.5338422150309868,0.7162071284465367
4,0.035,1-5,1374,0.43577210069703687,0.7802037845705968
4,0.035,11-20,3047,0.5260224127079183,0.7328519855595668
4,0.035,21+,4139,0.5630926964269669,0.6999275187243296
4,0.035,6-10,1487,0.5335614562908825,0.7121721587088097
