team_a,team_b,raw_prob_team_a_beats_team_b,team_a_name,team_b_name,seed_a,seed_b,field_order_a,field_order_b
akron,alabama,0.09857221,Akron,Alabama,12,4,49,51
akron,arizona,0.037705492,Akron,Arizona,12,1,49,10
akron,arkansas,0.15524507,Akron,Arkansas,12,4,49,22
akron,brigham-young,0.14267972,Akron,Brigham Young,12,6,49,27
akron,california-baptist,0.6987383,Akron,California Baptist,12,13,49,23
akron,central-florida,0.2304148,Akron,UCF,12,10,49,34
akron,clemson,0.29639617,Akron,Clemson,12,8,49,42
akron,connecticut,0.17640084,Akron,Connecticut,12,2,49,35
akron,duke,0.021662349,Akron,Duke,12,1,49,9
akron,florida,0.028505243,Akron,Florida,12,1,49,40
akron,furman,0.7797588,Akron,Furman,12,15,49,38
akron,georgia,0.23402439,Akron,Georgia,12,8,49,43
akron,gonzaga,0.09624874,Akron,Gonzaga,12,3,49,29
akron,hawaii,0.65575254,Akron,Hawaii,12,13,49,25
akron,high-point,0.4336514,Akron,High Point,12,12,49,20
akron,hofstra,0.5866731,Akron,Hofstra,12,13,49,54
akron,houston,0.044486865,Akron,Houston,12,2,49,63
akron,howard,0.7068657,Akron,Howard,12,16,49,2
akron,idaho,0.73920846,Akron,Idaho,12,15,49,64
akron,illinois,0.06766076,Akron,Illinois,12,3,49,57
akron,iowa,0.28447443,Akron,Iowa,12,9,49,44
akron,iowa-state,0.06745978,Akron,Iowa State,12,2,49,67
akron,kansas,0.15884691,Akron,Kansas,12,4,49,21
akron,kennesaw-state,0.66205317,Akron,Kennesaw State,12,14,49,31
akron,kentucky,0.1349216,Akron,Kentucky,12,7,49,65
akron,lehigh,0.90736395,Akron,Lehigh,12,16,49,6
akron,long-island-university,0.8206881,Akron,Long Island University,12,16,49,12
akron,louisville,0.14161988,Akron,Louisville,12,6,49,24
akron,maryland-baltimore-county,0.74970144,Akron,Maryland-Baltimore County,12,16,49,1
akron,mcneese-state,0.4259659,Akron,McNeese State,12,12,49,48
akron,miami-fl,0.3031523,Akron,Miami (FL),12,7,49,33
akron,miami-oh,0.5912881,Akron,Miami (OH),12,11,49,5
akron,michigan,0.055549476,Akron,Michigan,12,1,49,41
akron,michigan-state,0.07868062,Akron,Michigan State,12,3,49,28
akron,missouri,0.34281215,Akron,Missouri,12,10,49,36
akron,nebraska,0.18304203,Akron,Nebraska,12,4,49,50
akron,north-carolina,0.14989862,Akron,North Carolina,12,6,49,53
akron,north-carolina-state,0.329834,Akron,NC State,12,11,49,8
akron,north-dakota-state,0.5536434,Akron,North Dakota State,12,14,49,30
akron,northern-iowa,0.5375799,Akron,Northern Iowa,12,12,49,19
akron,ohio-state,0.22901317,Akron,Ohio State,12,8,49,13
akron,pennsylvania,0.7164942,Akron,Pennsylvania,12,14,49,59
akron,prairie-view,0.9534769,Akron,Prairie View,12,16,49,4
akron,purdue,0.08077673,Akron,Purdue,12,2,49,37
akron,queens-nc,0.77313566,Akron,Queens (NC),12,15,49,39
akron,saint-louis,0.38118267,Akron,Saint Louis,12,9,49,45
akron,saint-marys-ca,0.17550819,Akron,Saint Mary's (CA),12,7,49,61
akron,santa-clara,0.30135068,Akron,Santa Clara,12,10,49,66
akron,siena,0.8050481,Akron,Siena,12,16,49,11
akron,south-florida,0.40797812,Akron,South Florida,12,11,49,26
akron,southern-methodist,0.29872683,Akron,Southern Methodist,12,11,49,7
akron,st-johns-ny,0.1268127,Akron,St. John's (NY),12,5,49,17
akron,tennessee,0.074527256,Akron,Tennessee,12,6,49,56
akron,tennessee-state,0.6609974,Akron,Tennessee State,12,15,49,68
akron,texas,0.18450508,Akron,Texas,12,11,49,3
akron,texas-am,0.12810019,Akron,Texas A&M,12,10,49,62
akron,texas-christian,0.23454425,Akron,TCU,12,9,49,15
akron,texas-tech,0.1258111,Akron,Texas Tech,12,5,49,47
akron,troy,0.65599436,Akron,Troy,12,13,49,52
akron,ucla,0.13134429,Akron,UCLA,12,7,49,32
akron,utah-state,0.25837517,Akron,Utah State,12,9,49,16
akron,vanderbilt,0.14368652,Akron,Vanderbilt,12,5,49,46
akron,villanova,0.28533527,Akron,Villanova,12,8,49,14
akron,virginia,0.24101943,Akron,Virginia,12,3,49,58
akron,virginia-commonwealth,0.39891416,Akron,Virginia Commonwealth,12,11,49,55
akron,wisconsin,0.10231377,Akron,Wisconsin,12,5,49,18
akron,wright-state,0.67096215,Akron,Wright State,12,14,49,60
alabama,akron,0.90285516,Alabama,Akron,4,12,51,49
alabama,arizona,0.27786902,Alabama,Arizona,4,1,51,10
alabama,arkansas,0.54796636,Alabama,Arkansas,4,4,51,22
alabama,brigham-young,0.6282312,Alabama,Brigham Young,4,6,51,27
alabama,california-baptist,0.93264985,Alabama,California Baptist,4,13,51,23
alabama,central-florida,0.81265914,Alabama,UCF,4,10,51,34
alabama,clemson,0.7162211,Alabama,Clemson,4,8,51,42
alabama,connecticut,0.5431757,Alabama,Connecticut,4,2,51,35
alabama,duke,0.18257527,Alabama,Duke,4,1,51,9
alabama,florida,0.27028853,Alabama,Florida,4,1,51,40
alabama,furman,0.97105736,Alabama,Furman,4,15,51,38
alabama,georgia,0.60679126,Alabama,Georgia,4,8,51,43
alabama,gonzaga,0.63261604,Alabama,Gonzaga,4,3,51,29
alabama,hawaii,0.9535725,Alabama,Hawaii,4,13,51,25
